Date,Time,Temp
02-09-2024,09:00:00,5.44
02-09-2024,09:01:00,5.32
02-09-2024,09:02:00,5.68
02-09-2024,09:02:00,5.68
02-09-2024,09:03:00,5.41
02-09-2024,09:04:00,5.66
02-09-2024,09:05:00,5.71
02-09-2024,09:06:00,5.62
02-09-2024,09:07:00,5.53
02-09-2024,09:08:00,5.85
02-09-2024,09:09:00,5.59
02-09-2024,09:10:00,5.65
02-09-2024,09:11:00,5.58
02-09-2024,09:12:00,5.62
02-09-2024,09:13:00,5.59
02-09-2024,09:14:00,5.56
02-09-2024,09:15:00,5.85
02-09-2024,09:16:00,5.86
02-09-2024,09:17:00,5.65
02-09-2024,09:18:00,5.91
02-09-2024,09:19:00,5.84
02-09-2024,09:20:00,5.84
02-09-2024,09:20:00,5.84
02-09-2024,09:21:00,5.65
02-09-2024,09:22:00,5.82
02-09-2024,09:23:00,5.8
02-09-2024,09:24:00,5.9
02-09-2024,09:25:00,5.96
02-09-2024,09:26:00,5.88
02-09-2024,09:27:00,5.77
02-09-2024,09:28:00,5.81
02-09-2024,09:28:00,5.81
02-09-2024,09:29:00,5.77
02-09-2024,09:30:00,5.9
02-09-2024,09:31:00,5.73
02-09-2024,09:32:00,5.73
02-09-2024,09:33:00,5.95
02-09-2024,09:34:00,6.05
02-09-2024,09:35:00,5.92
02-09-2024,09:36:00,6.14
02-09-2024,09:37:00,5.97
02-09-2024,09:38:00,6.06
02-09-2024,09:39:00,6.0
02-09-2024,09:40:00,6.0
02-09-2024,09:41:00,5.93
02-09-2024,09:42:00,5.89
02-09-2024,09:43:00,6.11
02-09-2024,09:44:00,6.05
02-09-2024,09:45:00,6.13
02-09-2024,09:45:00,6.13
02-09-2024,09:46:00,6.14
02-09-2024,09:47:00,5.81
02-09-2024,09:47:00,5.81
02-09-2024,09:48:00,6.0
02-09-2024,09:49:00,5.95
02-09-2024,09:50:00,5.83
02-09-2024,09:50:00,5.83
02-09-2024,09:51:00,6.06
02-09-2024,09:52:00,5.96
02-09-2024,09:53:00,5.82
02-09-2024,09:54:00,5.9
02-09-2024,09:55:00,6.18
02-09-2024,09:56:00,6.09
02-09-2024,09:57:00,6.05
